lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.2629553516,34.0617061305,High,,,Belmont High School ,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.1863632072,34.0360649048,Elementary,21700A,,Belvedere Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1820839979,34.0398513717,Middle,"76464B, 76464A",,Belvedere Middle School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.198802423,34.1156569892,High,,,Benjamin Franklin High School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2942837785,34.0495257756,Middle,,,Berendo Middle School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.5252155773,34.1986831216,Elementary,5958A,,Bertrand Avenue Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2552545355,34.0663241008,Elementary,,,Betty Plasencia Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.3109986345,34.0233659643,Elementary,,,Birdielee V. Bright Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.5045446506,34.1889999805,High,,,Birmingham High School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5417756685,34.2147010483,Elementary,,,Blythe Street Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.2594862331,33.8286355093,Elementary,"21929B, 21929A",,Bonita Street Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2115186525,34.0787806347,span,"94119B, 94119A",,Boys Academic Leadership Academy,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4152325079,33.9929061452,Elementary,,,Braddock Drive Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.3646933476,34.2773085617,Elementary,"36699D, 36699C, 36699B",,Brainard Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2133492349,34.0423265378,Elementary,,,Breed Street Elementary School ,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.4739868521,34.0502908852,Elementary,,,Brentwood Elementary Science Magnet,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2168769088,34.0527973318,Elementary,60533A,,Bridge Street Elementary School,East,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2627612659,33.8017103295,Elementary,"93467B, 93467A, 61682B, 61682A",,Broad Avenue Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2397065242,33.8543960783,Elementary,"14283B, 14283A",,Broadacres Avenue Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4615988819,33.9981301481,Elementary,,,Broadway Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.462908741,34.0440942023,Elementary,90025A,,Brockton Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1668179979,34.0404823704,Elementary,"2562B, 2562A",,Brooklyn Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1926224921,33.94505517,Elementary,"30146B, 30146A",,Bryson Avenue Elementary School,East ,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2063876232,34.1194790962,Elementary,,,Buchanan Street Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2954893099,33.987000358,Elementary,89915A,,Budlong Avenue Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3990860913,34.1708319845,Elementary,,,Burbank Boulevard Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.441771899,34.220017952,Elementary,,,Burton Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.1889948792,34.1025962735,Elementary,,,Bushnell Way Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2933769283,33.7373809497,Elementary,,,Cabrillo Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3053851714,34.0708257941,Elementary,,,Cahuenga Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.629803708,34.1587934134,Elementary,2704A,,Calabash Charter Academy,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5421484489,34.2382265488,Elementary,,,Calahan Community Charter School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5651888638,34.1821231535,Elementary,,,Calvert Charter for Enriched Studies,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.3818410209,34.206099458,Elementary,,,Camellia Avenue Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3903146521,34.0507747839,Elementary,,,Canfield Avenue Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.6051452079,34.2057765864,Elementary,,,Canoga Park Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.6054953093,34.1950829695,High,,,Canoga Park High School ,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.5252252654,34.2186586246,Elementary,"91343D, 21390A",,Cantara Street Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4298477961,34.2341129219,Elementary,22112A,,Canterbury Avenue Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
